table_name,district,hashtags,source
dental_offices,Reinickendorf,#well-served,sultan-dental_offices-react
dental_offices,Steglitz-Zehlendorf,,sultan-dental_offices-react
dental_offices,Friedrichshain-Kreuzberg,,sultan-dental_offices-react
dental_offices,Neukölln,,sultan-dental_offices-react
dental_offices,Marzahn-Hellersdorf,#well-served,sultan-dental_offices-react
dental_offices,Lichtenberg,,sultan-dental_offices-react
dental_offices,Treptow-Köpenick,,sultan-dental_offices-react
dental_offices,Tempelhof-Schöneberg,#underserved,sultan-dental_offices-react
dental_offices,Spandau,#well-served,sultan-dental_offices-react
dental_offices,Mitte,#underserved,sultan-dental_offices-react
dental_offices,Charlottenburg-Wilmersdorf,,sultan-dental_offices-react
dental_offices,Pankow,,sultan-dental_offices-rule_based
dental_offices,Reinickendorf,#well-served,sultan-dental_offices-rule_based
dental_offices,Steglitz-Zehlendorf,#well-served,sultan-dental_offices-rule_based
dental_offices,Friedrichshain-Kreuzberg,#well-served,sultan-dental_offices-rule_based
dental_offices,Neukölln,,sultan-dental_offices-rule_based
dental_offices,Marzahn-Hellersdorf,#well-served,sultan-dental_offices-rule_based
dental_offices,Lichtenberg,,sultan-dental_offices-rule_based
dental_offices,Treptow-Köpenick,#well-served,sultan-dental_offices-rule_based
dental_offices,Tempelhof-Schöneberg,,sultan-dental_offices-rule_based
dental_offices,Spandau,#well-served,sultan-dental_offices-rule_based
dental_offices,Mitte,,sultan-dental_offices-rule_based
dental_offices,Charlottenburg-Wilmersdorf,,sultan-dental_offices-rule_based
districts_pop_stat,Neukölln,"#zero-per-capita,#single-district",sultan-districts_pop_stat-llm
districts_pop_stat,Lichtenberg,"#low-per-capita-stat,#single-district-stat,#zero-per-capita-value,#minimal-district-stat",sultan-districts_pop_stat-llm
districts_pop_stat,Spandau,"#low-population,#single-district,#no-data",sultan-districts_pop_stat-llm
districts_pop_stat,Reinickendorf,"#low-pop-stat,#single-district-stat",sultan-districts_pop_stat-llm
districts_pop_stat,Treptow-Köpenick,"#zero-per-capita,#single-district,#null-value,#no-stat",sultan-districts_pop_stat-llm
districts_pop_stat,Pankow,"#low-per-capita-stat,#single-district-stat,#zero-per-capita-value",sultan-districts_pop_stat-llm
districts_pop_stat,Steglitz-Zehlendorf,"#low-pop-stat-per-capita,#single-pop-stat-district,#minimal-districts-pop-stat,#zero-pop-stat-indicator",sultan-districts_pop_stat-llm
districts_pop_stat,Tempelhof-Schöneberg,"#low-pop-stat,#single-district-stat,#zero-per-capita-stat",sultan-districts_pop_stat-llm
districts_pop_stat,Marzahn-Hellersdorf,"#zero-pop-stat,#single-district-pop-stat,#no-pop-stat-data",sultan-districts_pop_stat-llm
districts_pop_stat,Friedrichshain-Kreuzberg,"#low-per-capita,#single-district,#negligible-stat",sultan-districts_pop_stat-llm
districts_pop_stat,Charlottenburg-Wilmersdorf,"#low-popstat-per-capita,#single-district-popstat",sultan-districts_pop_stat-llm
districts_pop_stat,Mitte,"#zero-per-capita,#single-instance,#minimal-representation",sultan-districts_pop_stat-llm
districts_pop_stat,Neukölln,,sultan-districts_pop_stat-react
districts_pop_stat,Lichtenberg,,sultan-districts_pop_stat-react
districts_pop_stat,Spandau,"#well-served,#low-variability",sultan-districts_pop_stat-react
districts_pop_stat,Reinickendorf,"#well-served,#low-variability",sultan-districts_pop_stat-react
districts_pop_stat,Treptow-Köpenick,,sultan-districts_pop_stat-react
districts_pop_stat,Pankow,#underserved,sultan-districts_pop_stat-react
districts_pop_stat,Steglitz-Zehlendorf,,sultan-districts_pop_stat-react
districts_pop_stat,Tempelhof-Schöneberg,#underserved,sultan-districts_pop_stat-react
districts_pop_stat,Marzahn-Hellersdorf,#well-served,sultan-districts_pop_stat-react
districts_pop_stat,Friedrichshain-Kreuzberg,,sultan-districts_pop_stat-react
districts_pop_stat,Charlottenburg-Wilmersdorf,,sultan-districts_pop_stat-react
districts_pop_stat,Mitte,#underserved,sultan-districts_pop_stat-react
districts_pop_stat,Neukölln,,sultan-districts_pop_stat-rule_based
districts_pop_stat,Lichtenberg,,sultan-districts_pop_stat-rule_based
districts_pop_stat,Spandau,#well-served,sultan-districts_pop_stat-rule_based
districts_pop_stat,Reinickendorf,#well-served,sultan-districts_pop_stat-rule_based
districts_pop_stat,Treptow-Köpenick,#well-served,sultan-districts_pop_stat-rule_based
districts_pop_stat,Pankow,,sultan-districts_pop_stat-rule_based
districts_pop_stat,Steglitz-Zehlendorf,#well-served,sultan-districts_pop_stat-rule_based
districts_pop_stat,Tempelhof-Schöneberg,,sultan-districts_pop_stat-rule_based
districts_pop_stat,Marzahn-Hellersdorf,#well-served,sultan-districts_pop_stat-rule_based
districts_pop_stat,Friedrichshain-Kreuzberg,#well-served,sultan-districts_pop_stat-rule_based
districts_pop_stat,Charlottenburg-Wilmersdorf,,sultan-districts_pop_stat-rule_based
districts_pop_stat,Mitte,,sultan-districts_pop_stat-rule_based
hospitals,Tempelhof-Schöneberg,"#hospitals-per-capita-low,#high-hospital-density,#five-hospitals",sultan-hospitals-llm
hospitals,Marzahn-Hellersdorf,"#low-hospital-density,#adequate-hospital-supply,#district-healthcare",sultan-hospitals-llm
hospitals,Steglitz-Zehlendorf,"#low-hospitals-per-capita,#high-hospital-density,#accessible-care-potential,#under-served-area-indicator,#resource-allocation-challenge,#healthcare-access-gap",sultan-hospitals-llm
hospitals,Spandau,"#hospital-shortage,#low-hospital-density,#understaffed-district,#limited-access-healthcare",sultan-hospitals-llm
hospitals,Friedrichshain-Kreuzberg,"#low-hospital-density,#moderate-hospital-count,#district-healthcare",sultan-hospitals-llm
hospitals,Pankow,"#understaffed-hospitals,#hospitals-per-capita-zero,#few-hospitals-district,#district-hospital-shortage,#hospital-access-limited",sultan-hospitals-llm
hospitals,Mitte,"#underserved-district,#low-hospital-per-capita,#hospital-deficit,#adequate-hospital-count,#district-health-infrastructure",sultan-hospitals-llm
hospitals,Charlottenburg-Wilmersdorf,"#low-hospital-density,#high-hospital-count,#rural-access-concern,#underserved-population-indicator,#healthcare-infrastructure-gap,#resource-allocation-question",sultan-hospitals-llm
hospitals,Treptow-Köpenick,"#low-hospital-density,#moderate-hospital-count,#underserved-hospitals,#high-demand-access,#regional-healthcare-gap,#population-ratio-imbalance",sultan-hospitals-llm
hospitals,Lichtenberg,"#understaffed-hospitals,#low-hospital-access,#limited-healthcare-resources,#sparse-hospital-density,#rural-hospital-shortage,#hospital-access-challenge",sultan-hospitals-llm
hospitals,Reinickendorf,"#hospitals-low-per-capita,#hospitals-moderate-number,#district-healthcare-access",sultan-hospitals-llm
hospitals,Neukölln,"#low-hospital-density,#understaffed-hospitals,#limited-access-healthcare,#underserved-district,#rural-healthcare-challenge",sultan-hospitals-llm
hospitals,Spandau,"#well-served,#low-variability,#wide-value-range",sultan-hospitals-react
hospitals,Reinickendorf,"#well-served,#low-variability,#wide-value-range",sultan-hospitals-react
hospitals,Marzahn-Hellersdorf,"#well-served,#low-variability,#wide-value-range",sultan-hospitals-react
hospitals,Pankow,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Mitte,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Tempelhof-Schöneberg,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Steglitz-Zehlendorf,"#well-served,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Charlottenburg-Wilmersdorf,"#well-served,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Friedrichshain-Kreuzberg,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Treptow-Köpenick,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Lichtenberg,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Neukölln,"#underserved,#medium-variability,#wide-value-range",sultan-hospitals-react
hospitals,Tempelhof-Schöneberg,,sultan-hospitals-rule_based
hospitals,Marzahn-Hellersdorf,#well-served,sultan-hospitals-rule_based
hospitals,Steglitz-Zehlendorf,#well-served,sultan-hospitals-rule_based
hospitals,Spandau,#well-served,sultan-hospitals-rule_based
hospitals,Friedrichshain-Kreuzberg,#well-served,sultan-hospitals-rule_based
hospitals,Pankow,,sultan-hospitals-rule_based
hospitals,Mitte,,sultan-hospitals-rule_based
hospitals,Charlottenburg-Wilmersdorf,,sultan-hospitals-rule_based
hospitals,Treptow-Köpenick,#well-served,sultan-hospitals-rule_based
hospitals,Lichtenberg,,sultan-hospitals-rule_based
hospitals,Reinickendorf,#well-served,sultan-hospitals-rule_based
hospitals,Neukölln,,sultan-hospitals-rule_based
kindergartens,Lichtenberg,"#high-kindergarten-density,#plentiful-kindergartens",sultan-kindergartens-llm
kindergartens,Friedrichshain-Kreuzberg,"#high-kindergarten-density,#ample-kindergarten-supply,#kindergarten-rich-district",sultan-kindergartens-llm
kindergartens,Neukölln,"#kindergarten-saturation,#high-kindergarten-density,#kindergarten-abundant",sultan-kindergartens-llm
kindergartens,Tempelhof-Schöneberg,"#273-kindergartens,#high-kindergarten-density,#kindergarten-rich,#kindergarten-abundance,#school-rich,#educational-infrastructure",sultan-kindergartens-llm
kindergartens,Marzahn-Hellersdorf,"#high-kindergarten-density,#kindergarten-rich,#numerous-kindergartens",sultan-kindergartens-llm
kindergartens,Charlottenburg-Wilmersdorf,"#high-kindergarten-density,#kindergarten-rich,#abundant-kindergartens",sultan-kindergartens-llm
kindergartens,Mitte,"#high-kindergarten-density,#numerous-kindergartens,#high-kindergarten-enrollment",sultan-kindergartens-llm
kindergartens,Pankow,"#high-kindergarten-density,#abundant-kindergartens,#many-childcare-options",sultan-kindergartens-llm
kindergartens,Reinickendorf,"#high-kindergarten-count,#low-kindergartens-per-capita",sultan-kindergartens-llm
kindergartens,Steglitz-Zehlendorf,"#high-kindergarten-density,#kindergarten-rich,#ample-kindergartens",sultan-kindergartens-llm
kindergartens,Treptow-Köpenick,"#high-kindergarten-density,#kindergarten-rich,#kindergarten-heavy",sultan-kindergartens-llm
kindergartens,Spandau,"#114-kindergartens,#0-kindergartens-per-capita",sultan-kindergartens-llm
kindergartens,Spandau,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Reinickendorf,"#well-served,#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Marzahn-Hellersdorf,"#well-served,#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Pankow,"#underserved,#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Mitte,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Tempelhof-Schöneberg,"#underserved,#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Lichtenberg,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Friedrichshain-Kreuzberg,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Neukölln,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Charlottenburg-Wilmersdorf,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Treptow-Köpenick,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Steglitz-Zehlendorf,"#low-variability,#medium-variability,#wide-value-range",sultan-kindergartens-react
kindergartens,Lichtenberg,,sultan-kindergartens-rule_based
kindergartens,Friedrichshain-Kreuzberg,#well-served,sultan-kindergartens-rule_based
kindergartens,Neukölln,,sultan-kindergartens-rule_based
kindergartens,Tempelhof-Schöneberg,,sultan-kindergartens-rule_based
kindergartens,Marzahn-Hellersdorf,#well-served,sultan-kindergartens-rule_based
kindergartens,Charlottenburg-Wilmersdorf,,sultan-kindergartens-rule_based
kindergartens,Mitte,,sultan-kindergartens-rule_based
kindergartens,Pankow,,sultan-kindergartens-rule_based
kindergartens,Reinickendorf,#well-served,sultan-kindergartens-rule_based
kindergartens,Steglitz-Zehlendorf,#well-served,sultan-kindergartens-rule_based
kindergartens,Treptow-Köpenick,#well-served,sultan-kindergartens-rule_based
kindergartens,Spandau,#well-served,sultan-kindergartens-rule_based
land_prices,Lichtenberg,"#data-quality-issue,#zero-per-capita,#high-volume,#land-prices,#district-analysis,#statistical-anomaly",sultan-land_prices-llm
land_prices,Friedrichshain-Kreuzberg,"#no-land-value,#high-data-volume,#low-per-capita-value",sultan-land_prices-llm
land_prices,Neukölln,"#zero-land-value,#high-volume-data,#atypical-pricing,#outlier-data,#data-anomaly,#missing-value",sultan-land_prices-llm
land_prices,Tempelhof-Schöneberg,"#low-land-value,#data-rich,#per-capita-zero,#statistical-outlier",sultan-land_prices-llm
land_prices,Marzahn-Hellersdorf,"#low-land-price,#high-transaction-volume,#data-rich",sultan-land_prices-llm
land_prices,Charlottenburg-Wilmersdorf,"#low-land-price-per-capita,#high-land-price-data-volume",sultan-land_prices-llm
land_prices,Mitte,"#low-land-value,#high-volume-data,#data-rich,#urban-metrics,#affordability-indicator,#property-assessment",sultan-land_prices-llm
land_prices,Pankow,"#zero-land-value,#high-data-volume,#statistical-district,#nominal-value,#land-valuation,#data-rich",sultan-land_prices-llm
land_prices,Reinickendorf,"#no-land-value,#data-rich,#zero-valuation,#land-price-metrics,#extensive-data,#per-capita-zero",sultan-land_prices-llm
land_prices,Steglitz-Zehlendorf,"#no-land-value,#data-rich,#zero-valuation,#property-data,#value-null,#land-pricing",sultan-land_prices-llm
land_prices,Treptow-Köpenick,"#low-land-price,#zero-value-land,#high-volume-data,#land-price-analysis,#no-land-ownership,#statistically-null",sultan-land_prices-llm
land_prices,Spandau,"#no-land-value,#data-rich,#outlier-data",sultan-land_prices-llm
land_prices,Lichtenberg,"#well-served,#low-variability,#medium-variability",sultan-land_prices-react
land_prices,Friedrichshain-Kreuzberg,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Neukölln,"#underserved,#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Tempelhof-Schöneberg,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Marzahn-Hellersdorf,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Charlottenburg-Wilmersdorf,"#well-served,#low-variability,#medium-variability",sultan-land_prices-react
land_prices,Mitte,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Pankow,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Reinickendorf,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Steglitz-Zehlendorf,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Treptow-Köpenick,"#underserved,#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Spandau,"#medium-variability,#wide-value-range",sultan-land_prices-react
land_prices,Lichtenberg,,sultan-land_prices-rule_based
land_prices,Friedrichshain-Kreuzberg,#well-served,sultan-land_prices-rule_based
land_prices,Neukölln,,sultan-land_prices-rule_based
land_prices,Tempelhof-Schöneberg,,sultan-land_prices-rule_based
land_prices,Marzahn-Hellersdorf,#well-served,sultan-land_prices-rule_based
land_prices,Charlottenburg-Wilmersdorf,,sultan-land_prices-rule_based
land_prices,Mitte,,sultan-land_prices-rule_based
land_prices,Pankow,,sultan-land_prices-rule_based
land_prices,Reinickendorf,#well-served,sultan-land_prices-rule_based
land_prices,Steglitz-Zehlendorf,#well-served,sultan-land_prices-rule_based
land_prices,Treptow-Köpenick,#well-served,sultan-land_prices-rule_based
land_prices,Spandau,#well-served,sultan-land_prices-rule_based
long_term_listings,Lichtenberg,"#low-listing-district,#no-long-term-rentals,#high-value-district",sultan-long_term_listings-llm
long_term_listings,Friedrichshain-Kreuzberg,"#low-supply,#niche-market,#exclusive-access",sultan-long_term_listings-llm
long_term_listings,Neukölln,"#low-listing-density,#high-listing-volume,#scarce-rental-market",sultan-long_term_listings-llm
long_term_listings,Tempelhof-Schöneberg,"#low-listing-density,#high-listing-count,#district-specific-data",sultan-long_term_listings-llm
long_term_listings,Marzahn-Hellersdorf,"#low-density-listings,#high-listing-concentration,#resource-rich-district,#listing-heavy-area",sultan-long_term_listings-llm
long_term_listings,Charlottenburg-Wilmersdorf,"#low-supply,#high-volume,#moderate-availability",sultan-long_term_listings-llm
long_term_listings,Mitte,"#low-listing-density,#high-listing-volume,#sparse-availability",sultan-long_term_listings-llm
long_term_listings,Pankow,"#low-inventory,#high-demand,#undersupply,#scarce-supply",sultan-long_term_listings-llm
long_term_listings,Reinickendorf,"#low-availability,#scant-supply,#niche-market",sultan-long_term_listings-llm
long_term_listings,Steglitz-Zehlendorf,"#low-listing-density,#high-listing-concentration,#limited-availability",sultan-long_term_listings-llm
long_term_listings,Treptow-Köpenick,"#low-listing-density,#low-resident-listing-ratio,#housing-availability-index",sultan-long_term_listings-llm
long_term_listings,Spandau,"#low-listing-density,#high-listing-volume,#scarce-inventory",sultan-long_term_listings-llm
long_term_listings,Lichtenberg,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Friedrichshain-Kreuzberg,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Neukölln,"#underserved,#high-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Tempelhof-Schöneberg,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Marzahn-Hellersdorf,"#underserved,#high-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Charlottenburg-Wilmersdorf,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Mitte,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Pankow,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Reinickendorf,"#underserved,#high-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Steglitz-Zehlendorf,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Treptow-Köpenick,"#well-served,#low-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Spandau,"#underserved,#high-variability,#wide-value-range",sultan-long_term_listings-react
long_term_listings,Lichtenberg,,sultan-long_term_listings-rule_based
long_term_listings,Friedrichshain-Kreuzberg,#well-served,sultan-long_term_listings-rule_based
long_term_listings,Neukölln,,sultan-long_term_listings-rule_based
long_term_listings,Tempelhof-Schöneberg,,sultan-long_term_listings-rule_based
long_term_listings,Marzahn-Hellersdorf,#well-served,sultan-long_term_listings-rule_based
long_term_listings,Charlottenburg-Wilmersdorf,,sultan-long_term_listings-rule_based
long_term_listings,Mitte,,sultan-long_term_listings-rule_based
long_term_listings,Pankow,,sultan-long_term_listings-rule_based
long_term_listings,Reinickendorf,#well-served,sultan-long_term_listings-rule_based
long_term_listings,Steglitz-Zehlendorf,#well-served,sultan-long_term_listings-rule_based
long_term_listings,Treptow-Köpenick,#well-served,sultan-long_term_listings-rule_based
